prodid,prod_name,price1,price2,unitcost,supplier_name,attn,supplier_address,supplier_city,supplier_state,supplier_zip,prodtype_ID,PRODTYPEID,TYPEDESCRIPTION,BUID,BUID_1,NAME,ABBREV,division
 0001,Enumerator Polishing Equipment       ,164.97    ,142.53    ,135.4     ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0002,Tailor Jacks                         ,509.78    ,429.74    ,399.66    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0003,Sortie Covers                        ,248.21    ,213.21    ,206.81    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0004,Embodying Cleaning Supplies          ,250.91    ,213.52    ,207.11    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0005,Automobiles Fillers                  ,283.83    ,227.63    ,218.52    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0006,Planetesimal Manufacturing Equipment ,347.28    ,307       ,285.51    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0007,Commendation Fillers                 ,436.33    ,380.04    ,364.84    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0008,Septembers Manufacturing Equipment   ,584.33    ,522.98    ,517.75    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Careless Drive       ,Overlook, WA,98366    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0009,Millimeters Flushing Chemicals       ,295.56    ,251.82    ,241.75    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0010, 00010,Flushing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0010,Defeated Tray Supplies               ,559.74    ,476.9     ,448.29    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0011,Sulkiness Covers                     ,354.3     ,289.82    ,272.43    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0012,Travelings Photo Chemicals           ,274.39    ,242.01    ,225.07    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0122,,                       ,         ,    ,                    ,         ,TPCW
 0013,Coward Covers                        ,429.79    ,348.99    ,328.05    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0014,Engle Photo Chemicals                ,429.94    ,346.1     ,342.64    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0009, 00009,Photo Chemicals        ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0015,Disposed Fillers                     ,158.84    ,138.03    ,132.51    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0016,Enhanced Covers                      ,460.96    ,384.44    ,361.37    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0017,Optima Cleaning Supplies             ,288.41    ,255.53    ,242.75    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0018,Miniaturizing Manufacturing Equipment,456.24    ,379.59    ,353.02    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0019,Hesitating Jacks                     ,124.46    ,100.07    ,96.07     ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0020,Flake Photo Equipment                ,232.26    ,204.39    ,194.17    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0021,Denigrating Polishing Equipment      ,565.95    ,454.46    ,427.19    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0022,Whippers Covers                      ,488.61    ,410.43    ,389.91    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0023,Decided Tray Supplies                ,233.3     ,202.27    ,198.22    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0024,Bandage Manufacturing Equipment      ,298       ,267.01    ,253.66    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0025,Chalmers Polishing Equipment         ,289.17    ,242.61    ,223.2     ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0026,Subclasses Polishing Equipment       ,282.51    ,239       ,236.61    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3737 Elms Drive           ,South Saint Paul, MN,55077    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0027,Pinnings Plastic Supplies            ,337.17    ,302.44    ,287.32    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0028,Wonderingly Covers                   ,547.21    ,467.32    ,453.3     ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0029,Bluest Fillers                       ,507.35    ,428.2     ,398.23    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0012, 00012,Fillers                ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0030,Detectives Jacks                     ,283.32    ,248.47    ,236.05    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0031,Simplifier Tray Supplies             ,408.81    ,349.12    ,328.17    ,Saurer Gruppe Holding Agency      ,Pearce Valdez                 ,3727 Elms Drive           ,South Saint Paul, MN,55077    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0032,Chartable Photo Equipment            ,410.17    ,347.41    ,312.67    ,Black Hills Corporation           ,Edena Gilbert                 ,1618 Greenland Street     ,Tallahassee, FL,32304    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0033,Consumable Tray Supplies             ,395.7     ,347.42    ,337       ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0034,Sailors Manufacturing Equipment      ,340.48    ,290.43    ,278.81    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0035,Chromium Photo Equipment             ,565.5     ,457.49    ,425.47    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0036,Bomber Photo Equipment               ,461.34    ,400.44    ,380.42    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0001, 00001,Photo Equipment        ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0037,Concentrators Polishing Equipment    ,584.57    ,524.94    ,482.94    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0038,Syntax Polishing Equipment           ,226.72    ,190.9     ,177.54    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0003, 00003,Polishing Equipment    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0039,Overlays Plastic Supplies            ,301.08    ,254.41    ,241.69    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0007, 00007,Plastic Supplies       ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0040,Insensitivity Manufacturing Equipment,200.71    ,180.44    ,169.61    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0041,Consideration Tray Supplies          ,172.56    ,146.85    ,139.51    ,American General Ventures Incorpor,Kimberly Yarborough           ,1616 Goggles Drive        ,Sterling, KS,67579    , 0008, 00008,Tray Supplies          ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0042,Carelessly Freezing Chemicals        ,559.67    ,467.88    ,425.77    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0043,Blazed Covers                        ,495       ,416.79    ,404.29    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0013, 00013,Covers                 ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0044,Birthdays Manufacturing Equipment    ,196.56    ,173.17    ,161.05    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0002, 00002,Manufacturing Equip    ,A        ,A   ,Processing Equipment,Equipment,TPCW
 0045,Slacking Jacks                       ,495.04    ,399.99    ,387.99    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0015, 00015,Jacks                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0046,Distantly Paper Supplies             ,518.49    ,436.05    ,418.61    ,First Bancshares Inc Motors       ,Jensine Lease                 ,11885 Aural Turnpike      ,Louisville, KY,40253    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0047,Significants Freezing Chemicals      ,141.55    ,113.24    ,104.18    ,Dollar General Corporation        ,Antoinette Hickey             ,3988 Chanced Avenue       ,S Middleton, PA,17007    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0048,Patriarchal Cleaning Supplies        ,351.54    ,284.75    ,264.82    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0005, 00005,Cleaning Supplies      ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0049,Visage Flushing Chemicals            ,567.75    ,507.57    ,466.96    ,Afg Industries Incorporation      ,Dorothy Polk                  ,5377 Cookbook Circle      ,Vero Beach, FL,32967    , 0010, 00010,Flushing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0050,Restarts Paper Supplies              ,524.38    ,448.34    ,425.92    ,Specialty Teleconstructors Incorpo,Zylina Cox                    ,2161 Chalmers Street      ,Salinas, CA,93905    , 0006, 00006,Paper Supplies         ,B        ,B   ,Disposable Supplies ,Supplies ,TPCW
 0051,Reflection Lifts                     ,497.85    ,447.57    ,438.62    ,Fedders Corporation               ,Virgil Hubert                 ,7844 Carelessly Drive     ,Overlook, WA,98366    , 0014, 00014,Lifts                  ,D        ,D   ,Miscellaneous       ,Misc     ,TPCW
 0052,Identical Freezing Chemicals         ,578.07    ,465.92    ,447.28    ,Sinclair Broadcast Group Incorpora,Carla Shelby                  ,6037 Ecuadorian Street    ,Clinton, MI,49236    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
 0053,Ruffle Freezing Chemicals            ,476.38    ,394.92    ,379.12    ,Immunex Corporation               ,Elbert Glad                   ,5841 Pervades Drive       ,Fairfax, VA,22035    , 0011, 00011,Freezing Chemicals     ,C        ,C   ,Chemicals           ,Chemicals,TPCW
